name,year,hard_hit_pct,era,method
Alex Rodriguez,2005,36.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Andruw Jones,2005,37.4,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Albert Pujols,2005,38.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Chase Utley,2005,37,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Derrek Lee,2005,40.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Brian Roberts,2005,33.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jim Edmonds,2005,39.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Morgan Ensberg,2005,34.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Mark Teixeira,2005,33.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Brian Giles,2005,32.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
David Wright,2005,30.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jason Bay,2005,34.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Grady Sizemore,2005,31.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Placido Polanco,2005,26.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Travis Hafner,2005,40.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
David Ortiz,2005,45.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Vladimir Guerrero,2005,34.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Coco Crisp,2005,27.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Eric Chavez,2005,32.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Marcus Giles,2005,31.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Miguel Cabrera,2005,39.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Randy Winn,2005,30.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Geoff Jenkins,2005,34.1,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Carl Crawford,2005,26.6,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Miguel Tejada,2005,35.4,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Victor Martinez,2005,30.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Felipe Lopez,2005,32.4,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Julio Lugo,2005,21.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Rafael Furcal,2005,29.4,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Derek Jeter,2005,31.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jhonny Peralta,2005,36.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Melvin Mora,2005,29.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jason Giambi,2005,38.2,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Nick Johnson,2005,35.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Michael Young,2005,27.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Todd Helton,2005,36,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
David DeJesus,2005,28,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Richie Sexson,2005,43.1,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Chad Tracy,2005,30.1,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jimmy Rollins,2005,32.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Bobby Abreu,2005,34.2,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Luis Castillo,2005,22.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Paul Konerko,2005,35.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Aaron Rowand,2005,26.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jose Guillen,2005,33.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Cliff Floyd,2005,34.6,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jeff Kent,2005,30.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Ichiro Suzuki,2005,23.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jason Varitek,2005,31.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Orlando Cabrera,2005,22.2,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Bill Mueller,2005,27.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Bill Hall,2005,32,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Joe Mauer,2005,31.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Adam Dunn,2005,35.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Ronnie Belliard,2005,28.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Jorge Posada,2005,33.3,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Carlos Delgado,2005,39.8,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Tadahito Iguchi,2005,24.6,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Brandon Inge,2005,27,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Ivan Rodriguez,2005,32,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Pat Burrell,2005,39.6,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Troy Glaus,2005,36.4,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Vernon Wells,2005,31.9,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Ken Griffey Jr.,2005,39.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Manny Ramirez,2005,42.4,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Aramis Ramirez,2005,36.5,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Craig Counsell,2005,24.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
Mark Grudzielanek,2005,26.7,Pre-Statcast (2005–2014),BIS Scouted (Hard%)
