Year,League,SO9,OPS
2005,American League,6.16,0.755
2005,MLB Average,6.38,0.749
2005,National League,6.57,0.744
2006,American League,6.44,0.776
2006,MLB Average,6.59,0.768
2006,National League,6.71,0.761
2007,American League,6.64,0.761
2007,MLB Average,6.67,0.758
2007,National League,6.7,0.757
2008,American League,6.64,0.756
2008,MLB Average,6.83,0.749
2008,National League,6.99,0.744
2009,American League,6.86,0.764
2009,MLB Average,6.99,0.751
2009,National League,7.09,0.739
2010,American League,6.83,0.734
2010,MLB Average,7.13,0.728
2010,National League,7.39,0.723
2011,American League,6.95,0.73
2011,MLB Average,7.13,0.72
2011,National League,7.29,0.71
2012,American League,7.41,0.731
2012,MLB Average,7.56,0.724
2012,National League,7.69,0.718
2013,American League,7.65,0.725
2013,MLB Average,7.57,0.714
2013,National League,7.49,0.703
2014,American League,7.67,0.706
2014,MLB Average,7.73,0.7
2014,National League,7.78,0.694
2015,American League,7.64,0.73
2015,MLB Average,7.76,0.721
2015,National League,7.88,0.713
2016,American League,8.01,0.744
2016,MLB Average,8.1,0.739
2016,National League,8.19,0.734
2017,American League,8.3,0.753
2017,MLB Average,8.34,0.75
2017,National League,8.39,0.748
2018,American League,8.49,0.734
2018,MLB Average,8.53,0.728
2018,National League,8.57,0.722
2019,American League,8.81,0.762
2019,MLB Average,8.88,0.758
2019,National League,8.94,0.753
2020,American League,9,0.733
2020,MLB Average,9.07,0.74
2020,National League,9.14,0.746
2021,American League,8.85,0.731
2021,MLB Average,8.9,0.728
2021,National League,8.96,0.725
2022,American League,8.42,0.701
2022,MLB Average,8.53,0.706
2022,National League,8.63,0.712
2023,American League,8.9,0.729
2023,MLB Average,8.74,0.734
2023,National League,8.58,0.74
2024,American League,8.63,0.703
2024,MLB Average,8.6,0.711
2024,National League,8.57,0.719
2025,American League,8.58,0.719
2025,MLB Average,8.49,0.719
2025,National League,8.4,0.719
