year,era,zone,x,y,plate_x,plate_z,pitch_type,description,outcome
2014,Pre-Statcast (2014 MVP),9,3,1,0.3187098058504023,1.7047571078648391,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),7,1,1,-0.40860408667046344,1.572531395430194,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),2,2,3,0.19662301354344258,3.323389432049794,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),8,2,1,-0.1318968583935708,1.8267146758979207,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),2,2,3,0.07599014258560907,3.1114315209322276,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),4,1,2,-0.6373446015002899,2.5384514425715294,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),7,1,1,-0.3070231228020069,1.8413454945297585,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),2,2,3,0.22905343143760148,3.6239620464763393,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),9,3,1,0.4112607644475542,1.9489219613402624,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),2,2,3,0.043064672254951364,3.2640986402970107,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),4,1,2,-0.36242487401369816,2.5450745890015383,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),3,3,3,0.5714452155273999,3.152968069658072,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),5,2,2,-0.18011033319778214,2.6356848547854774,Other,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP),4,1,2,-0.5747474230169485,2.8238185279714516,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),1,1,3,-0.29489055390970853,3.0858163606382325,Other,swinging_strike,Whiff (Miss)
2014,Pre-Statcast (2014 MVP),2,2,3,-0.03531858139864119,3.4734097416215173,Other,foul_tip,Contact / Foul
2014,Pre-Statcast (2014 MVP),7,1,1,-0.5048837382529117,1.6644184690351835,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),8,2,1,0.17359301752942785,1.6203804884726982,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),4,1,2,-0.7487663645461876,2.4190454098999217,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),8,2,1,0.140664082409509,1.5772250807516919,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),3,3,3,0.5569455106561229,3.418311121797642,Other,foul,Contact / Foul
2014,Pre-Statcast (2014 MVP),2,2,3,-0.05973449352227289,3.3469971610715046,Other,hit_into_play,Contact / Foul
2014,Pre-Statcast (2014 MVP),2,2,3,0.19105534297617954,3.6269404451671114,Other,swinging_strike,Whiff (Miss)
