year,era,zone,x,y,name,swings,whiffs,whiff_pct
2014,Pre-Statcast (2014 MVP),1,1,3,Up-In,77,20,26.0
2014,Pre-Statcast (2014 MVP),2,2,3,Up-Mid,78,23,29.5
2014,Pre-Statcast (2014 MVP),3,3,3,Up-Away,38,12,31.6
2014,Pre-Statcast (2014 MVP),4,1,2,Mid-In,105,9,8.6
2014,Pre-Statcast (2014 MVP),5,2,2,Heart,141,21,14.9
2014,Pre-Statcast (2014 MVP),6,3,2,Mid-Away,92,19,20.7
2014,Pre-Statcast (2014 MVP),7,1,1,Low-In,86,4,4.7
2014,Pre-Statcast (2014 MVP),8,2,1,Low-Mid,105,9,8.6
2014,Pre-Statcast (2014 MVP),9,3,1,Low-Away,96,11,11.5
2019,Post-Statcast (2019 MVP),1,1,3,Up-In,43,5,11.6
2019,Post-Statcast (2019 MVP),2,2,3,Up-Mid,83,19,22.9
2019,Post-Statcast (2019 MVP),3,3,3,Up-Away,48,10,20.8
2019,Post-Statcast (2019 MVP),4,1,2,Mid-In,97,4,4.1
2019,Post-Statcast (2019 MVP),5,2,2,Heart,101,9,8.9
2019,Post-Statcast (2019 MVP),6,3,2,Mid-Away,109,16,14.7
2019,Post-Statcast (2019 MVP),7,1,1,Low-In,52,5,9.6
2019,Post-Statcast (2019 MVP),8,2,1,Low-Mid,71,8,11.3
2019,Post-Statcast (2019 MVP),9,3,1,Low-Away,72,5,6.9
